query_id,query,doc_id,title,phase,status,relevance
1,diabetes recruiting,NCT06943235,Study of Probiotics Combined With Concurrent Hyperfractionated ChemoRadiotherapy and Adebrelimab Immunomaintenance in the Treatment of Limited-stage Small Cell Lung Cancer (LS-SCLC),PHASE2,NOT_YET_RECRUITING,
2,asthma,NCT00142025,Study of Efficacy of Oxcarbazepine in Therapy of Bronchial Asthma,PHASE4,COMPLETED,
2,asthma,NCT00964535,Bioequivalence Study of Budesonide/Formoterol Easyhaler and Symbicort Turbohaler in Asthmatics,"PHASE1, PHASE2",COMPLETED,
2,asthma,NCT06943235,Study of Probiotics Combined With Concurrent Hyperfractionated ChemoRadiotherapy and Adebrelimab Immunomaintenance in the Treatment of Limited-stage Small Cell Lung Cancer (LS-SCLC),PHASE2,NOT_YET_RECRUITING,
2,asthma,NCT03445325,Pre/Post Evaluation of Living Green and Healthy for Teens (LiGHT),,COMPLETED,
2,asthma,NCT03498976,RFp on Suprascapular N. Versus RFp on Suprascapular N. and Circumflex in the Treatment of Painful Shoulder,,UNKNOWN,
3,breast cancer phase 3,NCT00040235,Magnesium Effects in Apheresis,PHASE3,COMPLETED,
3,breast cancer phase 3,NCT05196035,"A Study to Learn More About How Well the Study Treatment Finerenone Works, How Safe it is, How it Moves Into, Through, and Out of the Body, and the Effects it Has on the Body When Taken With an ACE Inhibitor or Angiotensin Receptor Blocker in Children With Chronic Kidney Disease and Proteinuria",PHASE3,RECRUITING,
3,breast cancer phase 3,NCT04135508,A Phase III Study Evaluate the Efficacy and Safety of BAT1406 and Humira,PHASE3,COMPLETED,
3,breast cancer phase 3,NCT06856876,Examining the Effectiveness of Multidisciplinary Care Teams in Improving Outcomes for Breast Cancer Patients,,COMPLETED,
3,breast cancer phase 3,NCT02879617,A Clinical Trial of Durvalumab (MEDI4736) as 1st Line Therapy in Advanced Non-small Cell Lung Cancer Patients,PHASE2,COMPLETED,
3,breast cancer phase 3,NCT00424840,Phase I/II Study to Evaluate the Efficacy and Safety of a Combination Chemotherapy,PHASE1,TERMINATED,
3,breast cancer phase 3,NCT05072340,Evaluation of Resilience Skills Enhancement (RISE) Training Among University Students,,COMPLETED,
4,pain management,NCT02469025,Effects of Grade III Traction-mobilization in End-range Joint Position in Patients With Hip Osteoarthritis,PHASE3,COMPLETED,
4,pain management,NCT05520476,Neuroliten MVP System Clinical Observation Study,Not Applicable,ACTIVE_NOT_RECRUITING,
4,pain management,NCT03498976,RFp on Suprascapular N. Versus RFp on Suprascapular N. and Circumflex in the Treatment of Painful Shoulder,,UNKNOWN,
4,pain management,NCT03398408,Cognitive Flexibility Training in Persistent Pain,,COMPLETED,
4,pain management,NCT03895476,To Measure Pain Perception Following De-Epithelized Free Gingival Graft Harvesting,,COMPLETED,
5,obesity diet,NCT03445325,Pre/Post Evaluation of Living Green and Healthy for Teens (LiGHT),,COMPLETED,
5,obesity diet,NCT05404217,Clinical Trial to Investigate the Efficacy and Safety of LN-OS-22 on Oxidative Stress and Systemic Inflammation in Overweight and Obese Population.,,COMPLETED,
5,obesity diet,NCT01926925,Endothelial Function in Hispanic Children/Adolescents at Risk for Type 2 Diabetes,Not Applicable,COMPLETED,
5,obesity diet,NCT06943235,Study of Probiotics Combined With Concurrent Hyperfractionated ChemoRadiotherapy and Adebrelimab Immunomaintenance in the Treatment of Limited-stage Small Cell Lung Cancer (LS-SCLC),PHASE2,NOT_YET_RECRUITING,
5,obesity diet,NCT00606476,"AAB-001 (Bapineuzumab) Open-Label, Long-Term Extension Study in Patients With Mild to Moderate Alzheimer's Disease",PHASE2,TERMINATED,
6,melanoma immunotherapy,NCT06495008,Taste and Smell Dysfunction in Patients More Than Two Years After Start of Immune Checkpoint Inhibitor Therapy,Not Applicable,COMPLETED,
6,melanoma immunotherapy,NCT00304525,"A Study to Evaluate RAF265, an Oral Drug Administered to Subjects With Locally Advanced or Metastatic Melanoma","PHASE1, PHASE2",COMPLETED,
6,melanoma immunotherapy,NCT03904108,Platinum-Based Chemotherapy Plus Ramucirumab in Patients With Advanced NSCLC Who Have Progressed on First Line Anti-PD-1 Immunotherapy,PHASE2,TERMINATED,
6,melanoma immunotherapy,NCT02760225,Pembrolizumab-PET Imaging,,COMPLETED,
6,melanoma immunotherapy,NCT06943235,Study of Probiotics Combined With Concurrent Hyperfractionated ChemoRadiotherapy and Adebrelimab Immunomaintenance in the Treatment of Limited-stage Small Cell Lung Cancer (LS-SCLC),PHASE2,NOT_YET_RECRUITING,
7,hypertension,NCT03498976,RFp on Suprascapular N. Versus RFp on Suprascapular N. and Circumflex in the Treatment of Painful Shoulder,,UNKNOWN,
7,hypertension,NCT03445325,Pre/Post Evaluation of Living Green and Healthy for Teens (LiGHT),,COMPLETED,
7,hypertension,NCT02335840,Doses of Coffee and Blood Pressure Response Post-exercise,,COMPLETED,
7,hypertension,NCT04502225,Effect of Raised Head of the Bed on Lying Blood Pressure in Autonomic Failure,,RECRUITING,
7,hypertension,NCT05196035,"A Study to Learn More About How Well the Study Treatment Finerenone Works, How Safe it is, How it Moves Into, Through, and Out of the Body, and the Effects it Has on the Body When Taken With an ACE Inhibitor or Angiotensin Receptor Blocker in Children With Chronic Kidney Disease and Proteinuria",PHASE3,RECRUITING,
8,covid-19 vaccine,NCT05695976,GRETeL: Tumor Response to Standard Radiotherapy and TMZ Patients With GBM,Not Applicable,SUSPENDED,
8,covid-19 vaccine,NCT05584735,Determining the Relationship Between Gut Microbiota and Immune Response to Influenza or COVID-19 Vaccine,Not Applicable,COMPLETED,
8,covid-19 vaccine,NCT04558125,Low-Dose Tenecteplase in Covid-19 Diagnosed With Pulmonary Embolism,PHASE4,TERMINATED,
8,covid-19 vaccine,NCT01063608,Study of Immune Responses After Vaccination Against Seasonal Influenza Virus and Against Influenza H1N1-v Pandemic Virus in a Medical Staff.,PHASE4,COMPLETED,
8,covid-19 vaccine,NCT06943235,Study of Probiotics Combined With Concurrent Hyperfractionated ChemoRadiotherapy and Adebrelimab Immunomaintenance in the Treatment of Limited-stage Small Cell Lung Cancer (LS-SCLC),PHASE2,NOT_YET_RECRUITING,
9,depression,NCT05374408,Using Mobile Technology to Address the Trauma Mental Health Treatment Gap,Not Applicable,COMPLETED,
9,depression,NCT06943235,Study of Probiotics Combined With Concurrent Hyperfractionated ChemoRadiotherapy and Adebrelimab Immunomaintenance in the Treatment of Limited-stage Small Cell Lung Cancer (LS-SCLC),PHASE2,NOT_YET_RECRUITING,
9,depression,NCT06493825,Mindfulness Application Effects on Mental Health Symptoms in Children With Severe Tinnitus and Misophonia,,RECRUITING,
9,depression,NCT04595708,Telephone Calls for Health for Homebound Older Adults,,COMPLETED,
9,depression,NCT05695976,GRETeL: Tumor Response to Standard Radiotherapy and TMZ Patients With GBM,Not Applicable,SUSPENDED,
